STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/23/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",10/24/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/7/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/8/2017,0.52,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/9/2017,0.48,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/10/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/11/2017,0.62,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/12/2017,2.99,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/13/2017,2.46,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/14/2017,3.02,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/15/2017,2.11,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/16/2017,0.08,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/17/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/18/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/19/2017,1.2,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/20/2017,0.99,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/21/2017,3.04,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/22/2017,2.03,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/23/2017,0.05,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/24/2017,0.02,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/25/2017,0.69,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/26/2017,0.91,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/27/2017,0,0,,,,
