"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT08","WT11"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-21",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-22",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-23",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-24",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-25",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-26",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-27",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-28",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-29",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-06-30",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-02",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-03",,,"0.01",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-05",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-07",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-10",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-11",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-12",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-16",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-17",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-18",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-19",,,"0.00","0.0",,,,,,,,,,,,
